,unnormalized,normalized
377,Th ssidewwalkk is stddld by the fenc .,The sidewalk is straddled by the fence.
378,The man with a book .,The man with a book.
379,Gaas esccapedD de tube .,Gas escaped the tube.
380,Th terrorist scpd the prisOn cell .,The terrorist escaped the prison cell.
381,Th prison cell was escaped by the terrrst .,The prison cell was escaped by the terrorist.
382,Theee rolling stoneee avoidd de river .,The rolling stone avoided the river.
383,The riverr was avoided by the rolling stonnn .,The river was avoided by the rolling stone.
384,The agentssssss caught the terorrist .,The agents caught the terrorist.
385,Thee sponge soaked up the water .,The sponge soaked up the water.
386,The tubbb filled wid water .,The tub filled with water.
387,Jon recived a book .,John received a book.
388,Johnnn leraned a lesson .,John learned a lesson.
389,The parcel recahed Johnnn .,The parcel reached John.
390,Jhn recieved th parcl .,John received the parcel.
391,The farm finnnlly got to John after much litigationnn .,The farm finally got to John after much litigation.
392,Water filld the cUp high .,Water filled the cup high.
393,Water filled the cup .,Water filled the cup.
394,The cup filled with waterr .,The cup filled with water.
395,the barg piled highh wIthhhh logs .,the barge piled high with logs.
396,aa stone blocKed tHeEe road .,a stone blocked the road.
397,the barnch drppd ts applee fre .,the branch dropped its apple free.
398,Some brcnhes broke off of the treeeeeee .,Some branches broke off of the tree.
399,The tree dropped sme branchess .,The tree dropped some branches.
400,The tre lOst sme branchs .,The tree lost some branches.
401,Water bubbled out of the kettle .,Water bubbled out of the kettle.
402,The kettle bubbled W8r .,The kettle bubbled water.
403,Theee tub laked empty of water .,The tub leaked empty of water.
404,Hail stonessss bbbroke the winodw .,Hail stones broke the window.
405,The force of the wind Broke the window .,The force of the wind broke the window.
406,The window broekee frm the Force of the wind .,The window broke from the force of the wind.
407,Whatt th frc of the winnd did to the window was break it .,What the force of the wind did to the window was break it.
408,John hit the ston aginst the wall .,John hit the stone against the wall.
409,Jhn hiit the wall with th stone .,John hit the wall with the stone.
410,John taappeddd sm wne from a brrel .,John tapped some wine from a barrel.
411,John tapped a barrell of someeee wine .,John tapped a barrel of some wine.
412,John Laid de book n the tablee .,John laid the book on the table.
413,John incluuded his n in the list .,John included his name in the list.
414,John loaded the brcks onto de trucK .,John loaded the bricks onto the truck.
415,John loaded the truck with bricks .,John loaded the truck with bricks.
416,John fed rice to th baby .,John fed rice to the baby.
417,John fed the bay rice .,John fed the baby rice.
418,john fed the bby up wth rice .,John fed the baby up with rice.
419,The bll lies compleetly inn the box .,The ball lies completely in the box.
420,Thee box copmletely containsssss th balll .,The box completely contains the ball.
421,The train got to the station fuly .,The train got to the station fully.
422,The train reached d statioN fully .,The train reached the station fully.
423,Pressss the sTtamp agAinst de pd compeletly .,Press the stamp against the pad completely.
424,Press de pad with the stampp completely .,Press the pad with the stamp completely.
425,Srpay the paInt no tthe wall complteely .,Spray the paint onto the wall completely.
426,SSpray ll the paint onTOoo the wall completElY .,Spray all the paint onto the wall completely.
427,spray the whole wall wid de paint .,Spray the whole wall with the paint.
428,Wht John diddd 2 The wll was paint it .,What John did to the wall was paint it.
429,What John did to the whol wall was paint itttt .,What John did to the whole wall was paint it.
430,Whatt John did to the wall was hit it .,What John did to the wall was hit it.
431,John took Billl to beee a fol .,John took Bill to be a fool.
432,Givee de bottle to the baby fulll .,Give the bottle to the baby full.
433,Give th bby the bottleeee full .,Give the baby the bottle full.
434,Rubb the cloth on the baby torn .,Rub the cloth on the baby torn.
435,Rub thee baby wth theeee cloth tornn .,Rub the baby with the cloth torn.
436,Dry the bay with the cloth sleep .,Dry the baby with the cloth asleep.
437,The stone knocked the cup apart .,The stone knocked the cup apart.
438,The cup smashed apart against the stone .,The cup smashed apart against the stone.
439,The stone smashed the cup apart .,The stone smashed the cup apart.
440,The tank filled with petrol out of th pumpp .,The tank filled with petrol out of the pump.
441,The cup emptied of water oto the ground .,The cup emptied of water onto the ground.
442,Johnnn included her name inn the list .,John included her name in the list.
443,John rlled the balll from the tree to the bush .,John rolled the ball from the tree to the bush.
444,John tapped the bottlee of some wter .,John tapped the bottle of some water.
445,John gave Bill the book .,John gave Bill the book.
446,John got the book from Billll .,John got the book from Bill.
447,We have someoneee in the living roOm .,We have someone in the living room.
448,John is very fnd of Mary .,John is very fond of Mary.
449,Mary lghed at John .,Mary laughed at John.
450,Th ship sank beneath the waveees .,The ship sank beneath the waves.
451,Mary considers Jhn a folollll And Bill a wimp .,Mary considers John a fool and Bill a wimp.
452,Jhnnnnn regards professors as strange and poticiss as crpy .,John regards professors as strange and politicians as creepy.
453,Sue put the books on the tabl and the rEcords onnnnnnn the chair .,Sue put the books on the table and the records on the chair.
454,Harriet gave a mug to John andd a scarf to Vivien .,Harriet gave a mug to John and a scarf to Vivien.
455,I expect Johnnn tooo wn and Harry to lose .,I expect John to win and Harry to lose.
456,You EaT the fish Raw and the beef coked .,You eat the fish raw and the beef cooked.
457,Theyyy tld Sue whoo to tallllk to nd Vrgina when to leav .,They told Sue who to talk to and Virginia when to leave.
458,"Smith loaned , and his widowwwwwww laterrrr dNaed , aaa valluable collection of manuscripts to th lIbrary .","Smith loaned, and his widow later donated, a valuable collection of manuscripts to the library."
459,"Sue moved , and Mary also traserred , her busines to a dferent locaiton .","Sue moved, and Mary also transferred, her business to a different location."
460,"I succeeded in convincing , even thoough John hd faileD to prseuade , Mry not to leave .","I succeeded in convincing, even though John had failed to persuade, Mary not to leave."
461,"Weee didnt particularly like , but nevretheless ate , the fish raw .","We didnt particularly like, but nevertheless ate, the fish raw."
462,"Flo desperateLy wants , thooooough she doesnt really exxpetcttttt , the Miami dolifns to be in the play-offs .","Flo desperately wants, though she doesnt really expect, the Miami Dolphins to be in the play-offs."
463,John learned French perfectlyyy .,John learned French perfectly.
464,Bill recited hIs lines poorly .,Bill recited his lines poorly.
465,Mry plays the violinn beautifully .,Mary plays the violin beautifully.
466,John laerend Frnch immediately .,John learned French immediately.
467,Bill recited hs lines slowlyy .,Bill recited his lines slowly.
468,MarY will playyy the violin son .,Mary will play the violin soon.
469,John immediately learned French .,John immediately learned French.
470,Bill slwly recited his lines .,Bill slowly recited his lines.
471,Mry will soon play thee violin .,Mary will soon play the violin.
472,Johnn immediatellllyy learned French perfectly .,John immediately learned French perfectly.
473,John learned Frenchh perfectly almost immditely .,John learned French perfectly almost immediately.
474,John learned French perfectly immediately .,John learned French perfectly immediately.
475,John rolleddd the bll perfctely dwn the hill .,John rolled the ball perfectly down the hill.
476,John rolledd the ball down the hilll perfectly .,John rolled the ball down the hill perfectly.
477,John shot the ball perfectly .,John shot the ball perfectly.
478,Johnnn spooke intimmmatelyy t Mary .,John spoke intimately to Mary.
